Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
acetophenone;chloroform;CC(=O)C1=CC=CC=C1;C(Cl)(Cl)Cl;-7.81
p-bromophenol;xylene;C1=CC(=CC=C1O)Br;CC1=CC(=CC=C1)C;-8.69
1-pentyne;octanol;CCCC#C;CCCCCCCCO;-2.79
butanal;isooctane;CCCC=O;CC(C)CC(C)(C)C;-3.45
chloroform;hexadecyliodide;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCCCI;-3.36
diethylamine;carbontet;CCNCC;C(Cl)(Cl)(Cl)Cl;-4.12
n-octane;tetrahydrothiophenedioxide;CCCCCCCC;C1CCS(=O)(=O)C1;-2.44
methylacetate;chlorobenzene;CC(=O)OC;C1=CC=C(C=C1)Cl;-4
methanol;iodobenzene;CO;C1=CC=C(C=C1)I;-2.18
ethylamine;iodobenzene;CCN;C1=CC=C(C=C1)I;-2.73
1,4-dioxane;nitromethane;C1COCCO1;C[N+](=O)[O-];-5.46
p-cresol;hexanol;CC1=CC=C(C=C1)O;CCCCCCO;-9.21
4-methylaniline;benzene;CC1=CC=C(C=C1)N;C1=CC=CC=C1;-7.59
methylpentanoate;ethylbenzene;CCCCC(=O)OC;CCC1=CC=CC=C1;-5.56
3,aminoaniline;water;C1=CC(=CC(=C1)N)N;O;-9.92
1,2-dimethoxyethane;octanol;COCCOC;CCCCCCCCO;-4.55
iodobenzene;cyclohexane;C1=CC=C(C=C1)I;C1CCCCC1;-6.26
6-chloro-N,N'-diethyl-1,3,5-triazine-2,4-diamine(simazine);water;CCNC1=NC(=NC(=N1)Cl)NCC;O;-10.2
toluene;ethylacetate;CC1=CC=CC=C1;CCOC(=O)C;-5.05
benzene;undecane;C1=CC=CC=C1;CCCCCCCCCCC;-4.05
N,N-dimethylacetamide;dimethylacetamide;CC(=O)N(C)C;CC(=O)N(C)C;-6.77
propyne;hexadecane;CC#C;CCCCCCCCCCCCCCCC;-1.4
nitromethane;xylene;C[N+](=O)[O-];CC1=CC(=CC=C1)C;-4.2
phenol;cyclohexane;C1=CC=C(C=C1)O;C1CCCCC1;-5.57
3,3-dimethylbutanone;octanol;CC(=O)C(C)(C)C;CCCCCCCCO;-4.53
bromoethane;bromoethane;CCBr;CCBr;-3.67
