Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
2-bromopropane;hexadecane;CC(C)Br;CCCCCCCCCCCCCCCC;-3.26
phenol;heptanol;C1=CC=C(C=C1)O;CCCCCCCO;-8.69
1-butanol;heptane;CCCCO;CCCCCCC;-3.66
piperidine;xylene;C1CCNCC1;CC1=CC(=CC=C1)C;-5.15
diethylamine;dibutylether;CCNCC;CCCCOCCCC;-3.8
propylparaben;water;CCCOC(=O)C1=CC=C(C=C1)O;O;-9.37
piperidine;chloroform;C1CCNCC1;C(Cl)(Cl)Cl;-6.37
N-methylaniline;water;CNC1=CC=CC=C1;O;-4.68
n-propane;cyclohexane;CCC;C1CCCCC1;-2.09
n-pentane;benzene;CCCCC;C1=CC=CC=C1;-2.99
butylamine;octane;CCCCN;CCCCCCCC;-3.44
2-hexanone;mesitylene;CCCCC(=O)C;CC1=CC(=CC(=C1)C)C;-5.34
N,N-dimethyl-p-methoxybenzamide;water;CN(C)C(=O)C1=CC=C(C=C1)OC;O;-11.01
ethanol;chloroform;CCO;C(Cl)(Cl)Cl;-3.94
n-octane;cyclohexane;CCCCCCCC;C1CCCCC1;-5.63
propylacetate;tbutylbenzene;CCCCC(=O)O;CC(C)(C)C1=CC=CC=C1;-4.72
propanoicacid;hexadecane;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CCCCCCCCCCCCCCCC;-3.12
pyrrole;octanol;C1=CNC=C1;CCCCCCCCO;-5.28
hydrazine;octanol;NN;CCCCCCCCO;-3.44
1-chloropropane;hexadecane;CCCCl;CCCCCCCCCCCCCCCC;-2.86
1-butanol;dichloroethane;CCCCO;CC(Cl)Cl;-4.92
butylacetate;tbutylbenzene;CCCCCC(=O)[O-];CC(C)(C)C1=CC=CC=C1;-5.25
thioanisole;carbontet;CSC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-5.66
anisole;anisole;COC1=CC=CC=C1;COC1=CC=CC=C1;-6.33
p-cresol;toluene;CC1=CC=C(C=C1)O;CC1=CC=CC=C1;-7.56
1-heptanol;heptanol;CCCCCCCO;CCCCCCCO;-7.84
3-pentanone;octanol;CCC(=O)CC;CCCCCCCCO;-4.36
toluene;ethylacetate;CC1=CC=CC=C1;CCOC(=O)C;-5.05
chlorobenzene;hexadecane;C1=CC=C(C=C1)Cl;CCCCCCCCCCCCCCCC;-4.99
1-pentanol;xylene;CCCCCO;CC1=CC(=CC=C1)C;-4.72
1,4-dioxane;acetonitrile;C1COCCO1;CC#N;-5.33
ethanol;butanol;CCO;CCCCO;-5.02
ethylphenylether;water;CCOC1=CC=CC=C1;O;-2.22
5-nonanone;water;CCCCC(=O)CCCC;O;-2.67
2-butanone;dimethylacetamide;CCC(=O)C;CC(=O)N(C)C;-4.52
tetramethylsilane;hexadecane;C[Si](C)(C)C;CCCCCCCCCCCCCCCC;-2.92
pentylacetate;water;CCCCCOC(=O)C;O;-2.45
2-hexanone;octane;CCCCC(=O)C;CCCCCCCC;-4.6
nitromethane;isooctane;C[N+](=O)[O-];CC(C)CC(C)(C)C;-2.82
1-pentanol;chloroform;CCCCCO;C(Cl)(Cl)Cl;-5.9
1,4-dioxane;diisopropylether;C1COCCO1;CC(C)OC(C)C;-4.42
methylacetate;chlorobenzene;CC(=O)OC;C1=CC=C(C=C1)Cl;-4
1-bromo-1-chloro-2,2,2-trifluoroethane;hexadecane;C(C(F)(F)F)(Cl)Br;CCCCCCCCCCCCCCCC;-2.97
aceticacid;diethylether;CC(=O)O;CCOCC;-6.26
methylcyclohexane;water;CC1CCCCC1;O;1.71
butylacetate;water;CCCCCC(=O)[O-];O;-2.55
1-hexanol;carbontet;CCCCCCO;C(Cl)(Cl)(Cl)Cl;-5.04
E-1,2-dichloroethene;octanol;C(=C/Cl)\Cl;CCCCCCCCO;-3.61
2-heptanone;octanol;CCCCCC(=O)C;CCCCCCCCO;-5.65
toluene;anisole;CC1=CC=CC=C1;COC1=CC=CC=C1;-4.95
2-methyl-1-nitrobenzene;onitrotoluene;CC1=CC=CC=C1[N+](=O)[O-];CC1=CC=CC=C1[N+](=O)[O-];-8.04
butylacetate;butylbenzene;CCCCCC(=O)[O-];CCCCC1=CC=CC=C1;-5.28
2,6-dichlorothiobenzamide;water;C1=CC(=C(C(=C1)Cl)C(=S)N)Cl;O;-10.81
nitromethane;cyclohexanone;C[N+](=O)[O-];C1CCC(=O)CC1;-5.09
toluene;octane;CC1=CC=CC=C1;CCCCCCCC;-4.82
acetone;heptane;CC(=O)C;CCCCCCC;-2.61
chloromethane;water;CCl;O;-0.56
phenol;ethylbenzene;C1=CC=C(C=C1)O;CCC1=CC=CC=C1;-6.82
butanoicacid;hexadecane;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CCCCCCCCCCCCCCCC;-3.86
uracil;butanol;C1=CNC(=O)NC1=O;CCCCO;-16.05
1-pentanol;octanol;CCCCCO;CCCCCCCCO;-6.4
n-octane;acetophenone;CCCCCCCC;CC(=O)C1=CC=CC=C1;-4.24
