Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
uracil;ethylacetate;C1=CNC(=O)NC1=O;CCOC(=O)C;-15.43
naphthalene;hexadecane;C1=CC=C2C=CC=CC2=C1;CCCCCCCCCCCCCCCC;-7.29
methylamine;water;CN;O;-4.56
nitrobenzene;heptane;C1=CC=C(C=C1)[N+](=O)[O-];CCCCCCC;-6.14
1,4-dioxane;water;C1COCCO1;O;-5.05
nitroethane;hexadecane;CC[N+](=O)[O-];CCCCCCCCCCCCCCCC;-3.29
butanoicacid;isobutanol;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CC(C)CO;-7.62
phenol;decalin;C1=CC=C(C=C1)O;C1CCC2CCCCC2C1;-5.38
iodomethane;water;CI;O;-0.89
1-pentanol;cyclohexane;CCCCCO;C1CCCCC1;-3.61
dimethylamine;hexadecane;CNC;CCCCCCCCCCCCCCCC;-2.18
propylamine;hexadecane;CCCN;CCCCCCCCCCCCCCCC;-2.92
1-propanol;dibromoethane;CCCO;CC(Br)Br;-3.82
N-methylpiperazine;water;CN1CCNCC1;O;-7.77
N,N-dimethylformamide;octanol;CN(C)C=O;CCCCCCCCO;-6.14
fluorobenzene;fluorobenzene;C1=CC=C(C=C1)F;C1=CC=C(C=C1)F;-4.6
o-xylene;carbontet;CC1=CC=CC=C1C;C(Cl)(Cl)(Cl)Cl;-6.07
2,2'-dichlorobiphenyl;water;C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl;O;-2.73
m-cresol;butylacetate;CC1=CC(=CC=C1)O;CCCCCC(=O)[O-];-8.44
urea;hexadecane;C(=O)(N)N;CCCCCCCCCCCCCCCC;-6.37
propyne;hexadecane;CC#C;CCCCCCCCCCCCCCCC;-1.4
1-heptanol;chlorobenzene;CCCCCCCO;C1=CC=C(C=C1)Cl;-6.78
methylamine;isobutanol;CN;CC(C)CO;-4.56
1-nitropropane;cyclohexane;CCC[N+](=O)[O-];C1CCCCC1;-4.06
ethanol;fluorobenzene;CCO;C1=CC=C(C=C1)F;-3.45
2-methylpropane;water;CC(C)C;O;2.32
1-propanol;dodecane;CCCO;CCCCCCCCCCCC;-2.74
1,2-dimethoxyethane;hexadecane;COCCOC;CCCCCCCCCCCCCCCC;-3.63
dimethylether;hexadecane;COC;CCCCCCCCCCCCCCCC;-1.49
2-pentanone;octane;CCCC(=O)C;CCCCCCCC;-3.97
methanol;pentane;CO;CCCCC;-1.29
5-trifluoromethyluracil;water;C1=C(C(=O)NC(=O)N1)C(F)(F)F;O;-15.46
bromoform;bromoform;C(Br)(Br)Br;C(Br)(Br)Br;-6.21
1-heptanol;bromoform;CCCCCCCO;C(Br)(Br)Br;-7.1
2,4-dimethylpentane;water;CC(C)CC(C)C;O;2.88
phenol;carbontet;C1=CC=C(C=C1)O;C(Cl)(Cl)(Cl)Cl;-6.14
ethanol;butanol;CCO;CCCCO;-5.02
tetramethylsilane;hexadecane;C[Si](C)(C)C;CCCCCCCCCCCCCCCC;-2.92
propylamine;hexanol;CCCN;CCCCCCO;-4.83
2-heptanone;toluene;CCCCCC(=O)C;CC1=CC=CC=C1;-6.3
acetophenone;heptane;CC(=O)C1=CC=CC=C1;CCCCCCC;-6.14
fluorotrichloromethane;water;C(F)(Cl)(Cl)Cl;O;0.82
nitroxyacetone;water;CC(=O)CO[N+](=O)[O-];O;-6
dimethylether;octanol;COC;CCCCCCCCO;-2.06
n-butane;hexadecane;CCCC;CCCCCCCCCCCCCCCC;-2.2
fluorobenzene;heptane;C1=CC=C(C=C1)F;CCCCCCC;-4.13
chloroform;hexadecyliodide;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCCCI;-3.36
cyclopropane;octanol;C1CC1;CCCCCCCCO;-1.6
piperidine;isobutanol;C1CCNCC1;CC(C)CO;-6.17
hydrogenperoxide;benzene;OO;C1=CC=CC=C1;-4.77
O,O-dimethylS-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl]dithiophosphate(azinphosmethyl);water;COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1;O;-10
ammonia;water;N;O;-4.29
1-propanethiol;isooctane;CCCS;CC(C)CC(C)(C)C;-3.78
methylpropanoate;chloroform;CCC(=O)OC;C(Cl)(Cl)Cl;-5.48
chlorodifluoromethane;water;C(F)(F)Cl;O;-0.5
1-hexanol;toluene;CCCCCCO;CC1=CC=CC=C1;-6.12
2-butanone;tetrahydrothiophenedioxide;CCC(=O)C;C1CCS(=O)(=O)C1;-4.09
4-methylaniline;octanol;CC1=CC=C(C=C1)N;CCCCCCCCO;-7.44
toluene;hexadecane;CC1=CC=CC=C1;CCCCCCCCCCCCCCCC;-4.54
ethylacetate;chlorohexane;CCOC(=O)C;CCCCCCCl;-4.25
dipropylamine;water;CCCNCCC;O;-3.66
toluene;acetophenone;CC1=CC=CC=C1;CC(=O)C1=CC=CC=C1;-4.9
pentylacetate;pentadecane;CCCCCOC(=O)C;CCCCCCCCCCCCCCC;-5.18
thiophenol;water;C1=CC=C(C=C1)S;O;-2.55
2-methoxyethanol;water;COCCO;O;-6.77
1-butanol;octane;CCCCO;CCCCCCCC;-3.69
n-pentane;octanol;CCCCC;CCCCCCCCO;-2.45
secbutanol;secbutanol;CCC(C)O;CCC(C)O;-5.48
1-propanethiol;hexadecane;CCCS;CCCCCCCCCCCCCCCC;-3.66
pyridine;diethylether;C1=CC=NC=C1;CCOCC;-4.81
tetrahydrofuran;water;C1CCOC1;O;-3.47
hydrogen;water;[HH];O;2.33
m-xylene;heptane;CC1=CC(=CC=C1)C;CCCCCCC;-5.67
propylparaben;octanol;CCCOC(=O)C1=CC=C(C=C1)O;CCCCCCCCO;-13.52
n-hexane;benzene;CCCCCC;C1=CC=CC=C1;-3.62
3-methylpyridine;water;CC1=CN=CC=C1;O;-4.77
n-octane;butanol;CCCCCCCC;CCCCO;-4.45
n-octane;chlorobenzene;CCCCCCCC;C1=CC=C(C=C1)Cl;-5.16
g-butyrolactone;butanone;C1CC(=O)OC1;CCC(=O)C;-4.47
ethylamine;dichloroethane;CCN;CC(Cl)Cl;-3.19
propanoicacid;isobutanol;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CC(C)CO;-6.98
methylacetate;heptane;CC(=O)OC;CCCCCCC;-2.97
