Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
p-bromophenol;butylacetate;C1=CC(=CC=C1O)Br;CCCCCC(=O)[O-];-10.57
1-heptanol;nonane;CCCCCCCO;CCCCCCCCC;-5.62
hexanoicacid;benzene;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;C1=CC=CC=C1;-6.94
1-propanol;isooctane;CCCO;CC(C)CC(C)(C)C;-3
propylamine;decane;CCCN;CCCCCCCCCC;-2.96
ethanol;benzylalcohol;CCO;C1=CC=C(C=C1)CO;-4.84
toluene;triethylamine;CC1=CC=CC=C1;CCN(CC)CC;-4.98
acetone;isopropylbenzene;CC(=O)C;CC(C)C1=CC=CC=C1;-3.32
2-ethylpyrazine;octane;CCC1=NC=CN=C1;CCCCCCCC;-5.51
propylacetate;toluene;CCCCC(=O)O;CC1=CC=CC=C1;-5
aniline;heptane;C1=CC=C(C=C1)N;CCCCCCC;-5.38
ethylacetate;isopropylbenzene;CCOC(=O)C;CC(C)C1=CC=CC=C1;-4.22
1-heptanol;dichloroethane;CCCCCCCO;CC(Cl)Cl;-6.79
butylacetate;chlorobenzene;CCCCCC(=O)[O-];C1=CC=C(C=C1)Cl;-5.74
butylacetate;bromooctane;CCCCCC(=O)[O-];CCCCCCCCBr;-5.11
1-heptanol;benzene;CCCCCCCO;C1=CC=CC=C1;-6.85
propylamine;xylene;CCCN;CC1=CC(=CC=C1)C;-3.69
methylpentanoate;fluoroctane;CCCCC(=O)OC;CCCCCCCCF;-5.33
1-pentanol;octane;CCCCCO;CCCCCCCC;-4.1
diethylether;cyclohexane;CCOCC;C1CCCCC1;-3.03
1-hexanol;water;CCCCCCO;O;-4.36
butylacetate;nonane;CCCCCC(=O)[O-];CCCCCCCCC;-4.69
2-ethylpyrazine;water;CCC1=NC=CN=C1;O;-5.51
propene;hexadecane;CC=C;CCCCCCCCCCCCCCCC;-1.29
piperidine;chloroform;C1CCNCC1;C(Cl)(Cl)Cl;-6.37
S-(RS)-2-chloro-1-phthalimidoethylO,O-diethylphosphorodithioate(dialifor);water;CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=CC=CC=C2C1=O;O;-5.7
thioanisole;carbontet;CSC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-5.66
toluene;iodobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)I;-4.99
diflunisal;water;C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O;O;-9.4
1-butanol;octanol;CCCCO;CCCCCCCCO;-5.71
cis-1,2-dimethylcyclohexane;water;C[C@@H]1CCCC[C@@H]1C;O;1.58
pyridine;dibutylether;C1=CC=NC=C1;CCCCOCCCC;-4.65
methylpentanoate;xylene;CCCCC(=O)OC;CC1=CC(=CC=C1)C;-5.61
2-butanone;aceticacid;CCC(=O)C;CC(=O)O;-4.8
cyclopentanone;octanol;C1CCC(=O)C1;CCCCCCCCO;-5.01
methylacetate;cyclohexane;CC(=O)OC;C1CCCCC1;-3.06
methylacetate;decane;CC(=O)OC;CCCCCCCCCC;-2.98
methylhexanoate;trimethylbenzene;CCCCCC(=O)OC;CC1=C(C(=CC=C1)C)C;-6.16
1,4-dioxane;acetophenone;C1COCCO1;CC(=O)C1=CC=CC=C1;-5.03
