Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
ISOBUTYRALDEHYDE;1-METHYL-2-PIPERIDINONE;CC(C)C=O;CN1CCCCC1=O;-3.92
OCTANE;N,N-DIMETHYLACETAMIDE;CCCCCCCC;CC(=O)N(C)C;-3.94
ANISOLE;CARBON TETRACHLORIDE;COc1ccccc1;C(Cl)(Cl)(Cl)Cl;-5.78
CYCLOHEXENE;ETHYL BENZOATE;C1CCC=CC1;CCOC(=O)C1=CC=CC=C1;-4.04
CHLOROTRIFLUOROMETHANE;TOLUENE;C(F)(F)(F)Cl;CC1=CC=CC=C1;-0.41
undecan-2-one;water;CCCCCCCCCC(=O)C;O;0.42993047339110957
PENTANE;PROPIONITRILE;CCCCC;CCC#N;-2.48
ETHYLCYCLOHEXANE;CYCLOHEXANONE;CCC1CCCCC1;C1CCC(=O)CC1;-4.84
NITROMETHANE;N-METHYLPYRROLIDONE;C[N+](=O)[O-];CN1CCCC1=O;-5.5
ETHANE;IODOBENZENE;CC;C1=CC=C(C=C1)I;-0.61
BUTANONE;ETHYL ACETATE;CCC(=O)C;CCOC(=O)C;-4.45
CHLOROBENZENE;PENTANOL;c1ccc(cc1)Cl;CCCCCO;-5.21
MONOCHLOROETHANE;N-BUTANOL;CCCl;CCCCO;-2.5
BUTYRONITRILE;DECAN-1-OL;CCCC#N;CCCCCCCCCCO;-3.92
1-PROPANETHIOL;2,2,4-TRIMETHYLPENTANE;CCCS;CC(C)CC(C)(C)C;-3.78
1-BROMOBUTANE;CARBON TETRACHLORIDE;CCCCBr;C(Cl)(Cl)(Cl)Cl;-4.75
1-CHLOROPROPANE;HEXADECANE;CCCCl;CCCCCCCCCCCCCCCC;-3.0
VINYLACETYLENE;2,2,4-TRIMETHYLPENTANE;C=CC#C;CC(C)CC(C)(C)C;-2.21
FLUROXENE;HEXADECANE;C=COCC(F)(F)F;CCCCCCCCCCCCCCCC;-1.91
TRIMETHYLAMINE;N-BUTANOL;CN(C)C;CCCCO;-2.91
METHANOL;HEPTANE;CO;CCCCCCC;-1.64
HEXADECANE;CARBON TETRACHLORIDE;CCCCCCCCCCCCCCCC;C(Cl)(Cl)(Cl)Cl;-11.41
BENZENE;1-CHLOROBUTANE;C1=CC=CC=C1;CCCCCl;-4.46
CYCLOOCTANE;SULFOLANE;C1CCCCCCC1;C1CCS(=O)(=O)C1;-3.81
SULFUR HEXAFLUORIDE;BROMOBENZENE;FS(F)(F)(F)(F)F;C1=CC=C(C=C1)Br;0.67
