Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
TERT-AMYL ALCOHOL;HEXADECANE;CCC(C)(C)O;CCCCCCCCCCCCCCCC;-3.59
PROPYL ACETATE;HEPTANE;CCCOC(=O)C;CCCCCCC;-4.02
P-TOLUIDINE;HEPTANE;CC1=CC=C(C=C1)N;CCCCCCC;-6.14
BENZONITRILE;HEXADECANE;c1ccc(cc1)C#N;CCCCCCCCCCCCCCCC;-5.46
DEUTERIUM;TETRAHYDROFURAN;[2H][2H];C1CCOC1;1.47
PROPENE;PENTANE;CC=C;CCCCC;-1.79
triethyl phosphate;water;CCOP(=O)(OCC)OCC;O;-0.9615512948932791
PROPIONITRILE;TRIBUTYL PHOSPHATE;CCC#N;CCCCOP(=O)(OCCCC)OCCCC;-4.39
CHLOROFORM;SULFOLANE;C(Cl)(Cl)Cl;C1CCS(=O)(=O)C1;-4.14
4-NITROTOLUENE;HEXADECANE;CC1=CC=C(C=C1)[N+](=O)[O-];CCCCCCCCCCCCCCCC;-6.85
1-methylimidazole;water;Cn1ccnc1;O;-1.1982332405266984
ETHANE;ACETIC ACID;CC;CC(=O)O;-0.38
DECAN-1-OL;HEXANE;CCCCCCCCCCO;CCCCCC;-7.69
BENZENE;DIBUTYL ETHER;C1=CC=CC=C1;CCCCOCCCC;-4.11
HEPT-1-ENE;ETHYL ACETATE;CCCCCC=C;CCOC(=O)C;-4.07
2-chloro-1,1,1-trimethoxyethane;water;COC(CCl)(OC)OC;O;-0.20468924896663027
ETHYLBENZENE;ETHYLBENZENE;CCc1ccccc1;CCc1ccccc1;-5.73
BENZENE;HEXANE;C1=CC=CC=C1;CCCCCC;-4.01
HEXENE;1,2-PROPANEDIOL;CCCCC=C;CC(CO)O;-1.94
diethoxymethoxybenzene;water;CCOC(OCC)Oc1ccccc1;O;-0.3711468810604638
3,6-dichloro-2-methoxybenzoic acid;water;COc1c(ccc(c1C(=O)O)Cl)Cl;O;-1.5753638132392895
OCTANE;DIBENZYL ETHER;CCCCCCCC;C1=CC=C(C=C1)COCC2=CC=CC=C2;-4.31
FORMIC ACID;CHLOROFORM;C(=O)O;C(Cl)(Cl)Cl;-4.38
