Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
CYCLOHEXANE;ACETONE;C1CCCCC1;CC(=O)C;-3.55
M-CRESOL;CHLOROFORM;Cc1cccc(c1)O;C(Cl)(Cl)Cl;-7.49
1-chloropropane;water;CCCCl;O;0.9032943646579482
pentan-1-amine;water;CCCCCN;O;-0.07464422389332291
ETHYLENE;CARBON TETRACHLORIDE;C=C;C(Cl)(Cl)(Cl)Cl;-0.78
HEXANE;TETRAHYDROPYRAN;CCCCCC;C1CCOCC1;-3.55
ETHYLENE;DODECANE;C=C;CCCCCCCCCCCC;-0.5
1-CHLOROPENTANE;1,4-DIOXANE;CCCCCCl;C1COCCO1;-4.84
CHLOROFORM;N-METHYLPYRROLIDONE;C(Cl)(Cl)Cl;CN1CCCC1=O;-5.24
ETHANETHIOL;HEXADECANE;CCS;CCCCCCCCCCCCCCCC;-2.96
but-1-yne;water;CCC#C;O;0.9475096731828727
2-BUTANOL;DIIODOMETHANE;CCC(C)O;C(I)I;-3.63
2-PENTANOL;HEXADECANE;CCCC(C)O;CCCCCCCCCCCCCCCC;-3.87
VINYL ACETATE;N-ETHYLACETAMIDE;CC(=O)OC=C;CCNC(=O)C;-3.83
1-PROPANOL;1-HEXADECENE;CCCO;CCCCCCCCCCCCCCC=C;-2.97
DICHLOROETHANE;DIIODOMETHANE;C(CCl)Cl;C(I)I;-3.72
ETHYL ACETATE;FORMAMIDE;CCOC(=O)C;C(=O)N;-3.56
2,4-DIMETHYLPENTANE;OCTANE;CC(C)CC(C)C;CCCCCCCC;-4.13
HEPTANE;ETHYLBENZENE;CCCCCCC;CCc1ccccc1;-4.5
DIHYDROGEN;N-BUTANOL;[HH];CCCCO;1.57
2,4-XYLIDINE;CHLOROFORM;CC1=CC(=C(C=C1)N)C;C(Cl)(Cl)Cl;-8.87
CYCLOHEXENE;PROPYLENE CARBONATE;C1CCC=CC1;CC1COC(=O)O1;-3.12
CYCLOHEXANE;1,5-DIMETHYL-2-PYRROLIDINONE;C1CCCCC1;CC1CCC(=O)N1C;-3.41
CYCLOHEXANONE;HEXADECANE;C1CCC(=O)CC1;CCCCCCCCCCCCCCCC;-4.93
1-BUTENE;HEXADECANE;CCC=C;CCCCCCCCCCCCCCCC;-2.03
[(E)-2-chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate;water;CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl;O;-0.8497125733302348
2,3-dimethylbutane;water;CC(C)C(C)C;O;1.5977347985494093
1-PROPANOL;CARBON TETRACHLORIDE;CCCO;C(Cl)(Cl)(Cl)Cl;-3.6
2-METHYL-3-HEXANOL;DECANE;CCCC(C(C)C)O;CCCCCCCCCC;-5.46
CYCLOHEXENE;1-METHYL-2-PIPERIDINONE;C1CCC=CC1;CN1CCCCC1=O;-3.75
(2Z)-2-BUTENE;2-METHYLBUTAN-1-OL;C/C=C\C;CCC(C)CO;-2.21
TETRAHYDROFURAN;5,8,11,14-TETRAOXAOCTADECANE;C1CCOC1;CCCCOCCOCCOCCOCCCC;-3.85
DIETHYL ETHER;PROPYLENE CARBONATE;CCOCC;CC1COC(=O)O1;-2.58
CHLOROBENZENE;DECANE;c1ccc(cc1)Cl;CCCCCCCCCC;-4.93
PENT-1-ENE;HEXADECANE;CCCC=C;CCCCCCCCCCCCCCCC;-2.75
1-METHOXYBUTANE;DICHLOROMETHANE;CCCCOC;C(Cl)Cl;-4.71
DIMETHYL PHTHALATE;CHLOROFORM;COC(=O)C1=CC=CC=C1C(=O)OC;C(Cl)(Cl)Cl;-11.84
METHYL ACETATE;CARBON TETRACHLORIDE;CC(=O)OC;C(Cl)(Cl)(Cl)Cl;-3.63
BENZENE;1-HEXADECENE;C1=CC=CC=C1;CCCCCCCCCCCCCCC=C;-3.83
ACETONE;DIETHYL ETHER;CC(=O)C;CCOCC;-3.51
ISOBUTENE;TOLUENE;CC(=C)C;CC1=CC=CC=C1;-2.39
2,4-DIMETHYLPENTANE;N,N-DIMETHYLACETAMIDE;CC(C)CC(C)C;CC(=O)N(C)C;-2.96
RESORCINOL;CHLOROFORM;C1=CC(=CC(=C1)O)O;C(Cl)(Cl)Cl;-9.56
METHYL PROPANOATE;METHANOL;CCC(=O)OC;CO;-4.32
METHYL ACETATE;FORMAMIDE;CC(=O)OC;C(=O)N;-3.27
propane-1-thiol;water;CCCS;O;0.7030250260450549
MONOCHLOROETHANE;SULFOLANE;CCCl;C1CCS(=O)(=O)C1;-2.44
ISOPRENE;HEPTANE;CC(=C)C=C;CCCCCCC;-3.22
P-CRESOL;HEXADECANE;CC1=CC=C(C=C1)O;CCCCCCCCCCCCCCCC;-5.88
1-nitropentane;water;CCCCC[N+](=O)[O-];O;0.2556701397928777
BROMOBENZENE;2-PROPOXYETHANOL;c1ccc(cc1)Br;CCCOCCO;-5.92
UNDECANE;2-BUTOXYETHANOL;CCCCCCCCCCC;CCCCOCCO;-6.17
TOLUENE;2-ETHOXYETHANOL;Cc1ccccc1;CCOCCO;-4.7
METHANOL;N-ETHYLACETAMIDE;CO;CCNC(=O)C;-4.6
ETHANE;METHYL ACETATE;CC;CC(=O)OC;-0.7
2-CHLOROETHANOL;M-XYLENE;C(CCl)O;CC1=CC(=CC=C1)C;-4.69
1,4-DIOXANE;3-METHYLBUTAN-1-OL;C1COCCO1;CC(C)CCO;-4.56
T-BUTYLBENZENE;ISOPROPANOL;CC(C)(C)C1=CC=CC=C1;CC(C)O;-5.59
TERT-BUTYL BROMIDE;DIMETHYLFORMAMIDE;CC(C)(C)Br;CN(C)C=O;-3.59
butanoic acid;water;CCCC(=O)O;O;-0.6624477372246721
(E)-1,2-dichloroethene;water;C(=C/Cl)\Cl;O;0.7862538420919717
HEPT-1-ENE;N-METHYLPYRROLIDONE;CCCCCC=C;CN1CCCC1=O;-3.45
NITROUS OXIDE;ISOPROPANOL;[N-]=[N+]=O;CC(C)O;-0.44
N,N-dimethylformamide;water;CN(C)C=O;O;-1.0421792104387293
2-BUTANOL;HEXANE;CCC(C)O;CCCCCC;-3.56
ANISOLE;DODECANE;COc1ccccc1;CCCCCCCCCCCC;-5.27
PROPIONITRILE;1-OCTANOL;CCC#N;CCCCCCCCO;-3.67
ISOHEXANE;TETRAHYDROFURAN;CCCC(C)C;C1CCOC1;-3.68
ETHANE;DIETHYL ETHER;CC;CCOCC;-1.16
1,5-HEXADIENE;CARBON TETRACHLORIDE;C=CCCC=C;C(Cl)(Cl)(Cl)Cl;-3.96
ETHYLBENZENE;1,4-DIOXANE;CCc1ccccc1;C1COCCO1;-5.7
LEUCOLINE;CHLOROFORM;C1=CC=C2C(=C1)C=CC=N2;C(Cl)(Cl)Cl;-9.52
BUTANONE;ETHYLBENZENE;CCC(=O)C;CCc1ccccc1;-4.12
ETHYLENE;BROMOBENZENE;C=C;C1=CC=C(C=C1)Br;-0.52
CHLOROBENZENE;2-ISOPROPOXYETHANOL;c1ccc(cc1)Cl;CC(C)OCCO;-5.35
DIMETHYLAMINE;HEXADECANE;CNC;CCCCCCCCCCCCCCCC;-2.18
CYCLOHEXANE;ACETIC ACID;C1CCCCC1;CC(=O)O;-3.22
HEX-3-ENE;1-HEXADECENE;CC/C=C/CC;CCCCCCCCCCCCCCC=C;-3.5
3-NITROPHENOL;CHLOROFORM;C1=CC(=CC(=C1)O)[N+](=O)[O-];C(Cl)(Cl)Cl;-10.31
MONOCHLOROETHANE;METHANOL;CCCl;CO;-2.63
METHANE;ACETIC ACID;C;CC(=O)O;0.52
PENT-1-ENE;N-METHYLPYRROLIDONE;CCCC=C;CN1CCCC1=O;-2.25
2,2-DIMETHYLBUTANE;TERT-AMYL METHYL ETHER;CCC(C)(C)C;CCC(C)(C)OC;-3.49
OCTANE;TETRAHYDROFURAN;CCCCCCCC;C1CCOC1;-5.25
ETHYLENE;TETRAETHYLENE GLYCOL DIMETHYL ETHER;C=C;COCCOCCOCCOCCOC;-0.29
2,4-DIMETHYLPENTANE;PROPYLENE CARBONATE;CC(C)CC(C)C;CC1COC(=O)O1;-2.21
(2S)-2-(3-benzoylphenyl)propanoic acid;water;C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O;O;-1.814646659374175
2-OCTANONE;CARBON TETRACHLORIDE;CCCCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-6.7
O-TOLUIDINE;CARBON TETRACHLORIDE;CC1=CC=CC=C1N;C(Cl)(Cl)(Cl)Cl;-7.15
2-methylpyridine;water;Cc1ccccn1;O;-0.21509285097249486
ETHANOL;ISOPROPANOL;CCO;CC(C)O;-4.84
PROPYL ACETATE;DECANE;CCCOC(=O)C;CCCCCCCCCC;-3.96
MOLECULAR OXYGEN;METHYLCYCLOHEXANE;O=O;CC1CCCCC1;0.7
VINYL ACETATE;EPSILON-CAPROLACTONE;CC(=O)OC=C;C1CCC(=O)OCC1;-4.02
TRIETHYLAMINE;2-BUTANOL;CCN(CC)CC;CCC(C)O;-4.82
CYCLOPENTANE;DODECANE;C1CCCC1;CCCCCCCCCCCC;-3.37
METHYL FORMATE;N-METHYLACETAMIDE;COC=O;CC(=O)NC;-3.15
CARBON DISULFIDE;2,2,4-TRIMETHYLPENTANE;C(=S)=S;CC(C)CC(C)(C)C;-3.25
2-chloro-1,1,1-trimethoxyethane;water;COC(CCl)(OC)OC;O;-0.20468924896663027
ACETONE;TOLUENE;CC(=O)C;Cc1ccccc1;-3.52
METHANOL;N-ETHYLFORMAMIDE;CO;CCNC=O;-4.52
4-ETHYLPHENOL;CHLOROFORM;CCC1=CC=C(C=C1)O;C(Cl)(Cl)Cl;-8.14
DIMETHYLBUTADIENE;CARBON TETRACHLORIDE;CC(=CC=C)C;C(Cl)(Cl)(Cl)Cl;-4.41
BENZENE;ACETIC ACID;C1=CC=CC=C1;CC(=O)O;-3.85
3-CHLORO-1-PROPANOL;CHLOROFORM;C(CO)CCl;C(Cl)(Cl)Cl;-5.84
PENTAN-2-ONE;PENTAN-2-ONE;CCCC(=O)C;CCCC(=O)C;-5.03
OCT-1-YNE;N-METHYLPYRROLIDONE;CCCCCCC#C;CN1CCCC1=O;-4.87
2-METHYLPHENOL;CHLOROFORM;CC1=CC=CC=C1O;C(Cl)(Cl)Cl;-7.56
2,6-dichloro-4-hydroxy-3,5-dimethoxybenzaldehyde;water;COc1c(c(c(c(c1Cl)C=O)Cl)OC)O;O;-1.2684575540662844
2,5-DIMETHYLHEXANE;ACETOPHENONE;CC(C)CCC(C)C;CC(=O)C1=CC=CC=C1;-3.75
DIISOPROPYL ETHER;N-ETHYLACETAMIDE;CC(C)OC(C)C;CCNC(=O)C;-3.33
HEPT-1-ENE;SULFOLANE;CCCCCC=C;C1CCS(=O)(=O)C1;-2.59
ISOHEXANE;CYCLOHEXANONE;CCCC(C)C;C1CCC(=O)CC1;-3.14
N-BUTANOL;DIIODOMETHANE;CCCCO;C(I)I;-4.13
PENT-1-ENE;PHENYLAMINE;CCCC=C;C1=CC=C(C=C1)N;-2.06
ETHYL ACETATE;DIMETHYLFORMAMIDE;CCOC(=O)C;CN(C)C=O;-4.34
2-BUTANOL;ETHYLBENZENE;CCC(C)O;CCC1=CC=CC=C1;-4.08
ETBE;N-METHYLACETAMIDE;CCOC(C)(C)C;C/C(=N/C)/O;-3.4
1,7-OCTADIENE;METHOXYETHANOL;C=CCCCCC=C;COCCO;-4.09
HEPTANE;CARBON TETRACHLORIDE;CCCCCCC;C(Cl)(Cl)(Cl)Cl;-4.75
ISOHEXANE;PENTANOL;CCCC(C)C;CCCCCO;-3.3
METHANE;ACETONE;C;CC(=O)C;0.3
hexyl nitrate;water;CCCCCCO[N+](=O)[O-];O;0.5573745979629507
CHLOROFORM;PROPYLENE CARBONATE;C(Cl)(Cl)Cl;CC1COC(=O)O1;-3.93
ETHYL IODIDE;IODOBENZENE;CCI;C1=CC=C(C=C1)I;-4.28
OCTENE;1-ETHYL-2-PYRROLIDINONE;CCCCCCC=C;CCN1CCCC1=O;-4.34
3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine;water;CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-];O;-0.48298560262350804
BUTADIENE;TERT-AMYL ALCOHOL;C=CC=C;CCC(C)(C)O;-2.16
BUTYL ACETATE;5,8,11,14-TETRAOXAOCTADECANE;CCCCOC(=O)C;CCCCOCCOCCOCCOCCCC;-5.14
ACETONE;N,N-DIMETHYLACETAMIDE;CC(=O)C;CC(=O)N(C)C;-3.94
BUTANONE;5,8,11,14-TETRAOXAOCTADECANE;CCC(=O)C;CCCCOCCOCCOCCOCCCC;-3.92
DICHLOROETHANE;4-METHYLPENTAN-2-ONE;C(CCl)Cl;CC(C)CC(=O)C;-4.68
METHYL PROPANOATE;CHLOROBENZENE;CCC(=O)OC;C1=CC=C(C=C1)Cl;-4.56
HEXADECANE;ETHANOL;CCCCCCCCCCCCCCCC;CCO;-8.96
PENTANOL;DODECANE;CCCCCO;CCCCCCCCCCCC;-4.24
OCTANE;TRIETHYLAMINE;CCCCCCCC;CCN(CC)CC;-5.38
OCTANE;DECAN-1-OL;CCCCCCCC;CCCCCCCCCCO;-4.53
BENZENE;ACETOPHENONE;C1=CC=CC=C1;CC(=O)C1=CC=CC=C1;-4.29
METHYLCYCLOPENTANE;DECANE;CC1CCCC1;CCCCCCCCCC;-3.93
2-METHYL-3-HEXANOL;CARBON TETRACHLORIDE;CCCC(C(C)C)O;C(Cl)(Cl)(Cl)Cl;-6.43
ACETONITRILE;TETRAETHYLENE GLYCOL DIMETHYL ETHER;CC#N;COCCOCCOCCOCCOC;-4.33
CARBON MONOXIDE;DIMETHYLFORMAMIDE;[C-]#[O+];CN(C)C=O;1.45
1-PROPANOL;1-PROPANOL;CCCO;CCCO;-5.43
2,5-dimethylpyridine;water;Cc1ccc(nc1)C;O;-0.23850095548569014
DIHYDROGEN;METHANOL;[HH];CO;1.39
3-CHLOROPHENOL;CHLOROFORM;C1=CC(=CC(=C1)Cl)O;C(Cl)(Cl)Cl;-8.01
OCTANE;CYCLOHEXANONE;CCCCCCCC;C1CCC(=O)CC1;-4.66
BUTYL ACETATE;PYRIDINE;CCCCOC(=O)C;c1ccncc1;-5.79
TRIETHYLAMINE;ETHANOL;CCN(CC)CC;CCO;-4.87
ETHYLCYCLOHEXANE;BUTYROLACTONE;CCC1CCCCC1;C1CC(=O)OC1;-3.62
METHANE;PENTANOL;C;CCCCCO;0.45
THIOPHENE;ISOPROPANOL;C1=CSC=C1;CC(C)O;-3.75
CARBON DIOXIDE;N-METHYLPYRROLIDONE;C(=O)=O;CN1CCCC1=O;-0.86
O-XYLENE;HEPTANE;Cc1ccccc1C;CCCCCCC;-5.51
ETHYLCYCLOHEXANE;TETRAHYDROFURAN;CCC1CCCCC1;C1CCOC1;-5.35
BUTADIENE;ACETONE;C=CC=C;CC(=O)C;-2.74
DIETHYL ETHER;1,5-DIMETHYL-2-PYRROLIDINONE;CCOCC;CC1CCC(=O)N1C;-2.79
quinoline;water;c1ccc2c(c1)cccn2;O;-0.4985910056323048
2-(2,3-dimethylanilino)benzoic acid;water;Cc1cccc(c1C)Nc2ccccc2C(=O)O;O;-0.7742864587877165
PENTAN-2-ONE;EPSILON-CAPROLACTONE;CCCC(=O)C;C1CCC(=O)OCC1;-4.74
METHYLCYCLOHEXANE;TRIBUTYL PHOSPHATE;CC1CCCCC1;CCCCOP(=O)(OCCCC)OCCCC;-4.02
ISOPROPYL PROPANOATE;HEXADECANE;CCC(=O)OC(C)C;CCCCCCCCCCCCCCCC;-4.13
ISOBUTYL ACETATE;1-OCTANOL;CC(C)COC(=O)C;CCCCCCCCO;-4.71
TETRAHYDROFURAN;ETHYL ACETATE;C1CCOC1;CCOC(=O)C;-4.11
ETHANE;CHLOROBENZENE;CC;C1=CC=C(C=C1)Cl;-0.8
HEXENE;N-ETHYLFORMAMIDE;CCCCC=C;CCNC=O;-2.85
2,2-dichloro-1,1-difluoro-1-methoxyethane;water;COC(C(Cl)Cl)(F)F;O;0.6978232250421226
ISOHEXANE;DIMETHYLFORMAMIDE;CCCC(C)C;CN(C)C=O;-2.51
heptane;water;CCCCCCC;O;1.6835645150977923
O-TOLUIDINE;TOLUENE;CC1=CC=CC=C1N;CC1=CC=CC=C1;-7.56
N-BUTANE;TRIBUTYL PHOSPHATE;CCCC;CCCCOP(=O)(OCCCC)OCCCC;-1.94
TOLUENE;P-XYLENE;Cc1ccccc1;Cc1ccc(cc1)C;-5.1
ETHYLCYCLOHEXANE;CHLOROFORM;CCC1CCCCC1;C(Cl)(Cl)Cl;-5.44
1,1,1-trichloroethane;water;CC(Cl)(Cl)Cl;O;0.9397069716784743
P-TOLUIDINE;HEXANE;CC1=CC=C(C=C1)N;CCCCCC;-6.06
N-BUTANE;CARBON TETRACHLORIDE;CCCC;C(Cl)(Cl)(Cl)Cl;-2.67
AMMONIA;ISOPROPANOL;N;CC(C)O;-2.37
DICHLORODIFLUOROMETHANE;CARBON TETRACHLORIDE;C(F)(F)(Cl)Cl;C(Cl)(Cl)(Cl)Cl;-1.92
methyl cyclopropanecarboxylate;water;COC(=O)C1CC1;O;-0.077245124394789
PROPENE;M-XYLENE;CC=C;CC1=CC(=CC=C1)C;-1.58
HEXENE;PHENYLAMINE;CCCCC=C;C1=CC=C(C=C1)N;-2.67
2-methylbuta-1,3-diene;water;CC(=C)C=C;O;1.1659853153060291
TOLUENE;N-ETHYLACETAMIDE;CC1=CC=CC=C1;CCNC(=O)C;-4.57
BUTANONE;SULFOLANE;CCC(=O)C;C1CCS(=O)(=O)C1;-4.14
ACETONE;N-ETHYLFORMAMIDE;CC(=O)C;CCNC=O;-3.72
PENTAN-2-ONE;PROPYLENE CARBONATE;CCCC(=O)C;CC1COC(=O)O1;-4.75
2-METHYLBUT-2-ENE;CARBON TETRACHLORIDE;CC=C(C)C;C(Cl)(Cl)(Cl)Cl;-3.25
TRIETHYLAMINE;METHANOL;CCN(CC)CC;CO;-5.24
3-PENTANONE;N-METHYLPYRROLIDONE;CCC(=O)CC;CN1CCCC1=O;-4.76
HEXANE;DIIODOMETHANE;CCCCCC;C(I)I;-2.06
TETRAHYDROFURAN;FORMAMIDE;C1CCOC1;C(=O)N;-3.67
2,2,4-TRIMETHYLPENTANE;SULFOLANE;CC(C)CC(C)(C)C;C1CCS(=O)(=O)C1;-2.33
1,3-DICHLOROBENZENE;HEXANE;C1=CC(=CC(=C1)Cl)Cl;CCCCCC;-6.18
1-OCTANOL;NONANOL;CCCCCCCCO;CCCCCCCCCO;-8.45
BROMOETHANE;HEXANE;CCBr;CCCCCC;-3.14
ACETONE;DODECANE;CC(=O)C;CCCCCCCCCCCC;-2.47
1,4-DIOXANE;PHENYLAMINE;C1COCCO1;c1ccc(cc1)N;-5.67
2,2,4-TRIMETHYLPENTANE;BUTANONE;CC(C)CC(C)(C)C;CCC(=O)C;-4.05
OCTANE;PENTANOL;CCCCCCCC;CCCCCO;-4.62
2-acetyloxyethyl acetate;water;CC(=O)OCCOC(=O)C;O;-0.659846836723206
2-HEXANONE;1-OCTANOL;CCCCC(=O)C;CCCCCCCCO;-5.02
ETHYLCYCLOHEXANE;CHLOROBENZENE;CCC1CCCCC1;C1=CC=C(C=C1)Cl;-5.54
ETHYLBENZENE;2-PROPOXYETHANOL;CCc1ccccc1;CCCOCCO;-5.21
1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE;HEXADECANE;C(C(F)(Cl)Cl)(F)(F)Cl;CCCCCCCCCCCCCCCC;-2.9
CARBON DIOXIDE;N-BUTANOL;C(=O)=O;CCCCO;-0.4
BENZENE;TETRAETHYLENE GLYCOL DIMETHYL ETHER;C1=CC=CC=C1;COCCOCCOCCOCCOC;-4.16
PROPYNE;DIMETHYLFORMAMIDE;CC#C;CN(C)C=O;-2.5
TOLUENE;PYRIDINE;Cc1ccccc1;c1ccncc1;-5.12
MONOCHLOROETHANE;1-PROPANOL;CCCl;CCCO;-2.54
DIETHYLAMINE;HEPTANE;CCNCC;CCCCCCC;-3.44
2-BUTANOL;N,N-DIMETHYLACETAMIDE;CCC(C)O;CC(=O)N(C)C;-5.89
ISOAMYL ACETATE;HEXADECANE;CC(C)CCOC(=O)C;CCCCCCCCCCCCCCCC;-5.12
MOLECULAR OXYGEN;BUTANONE;O=O;CCC(=O)C;0.76
ISOBUTANOL;OCTANE;CC(C)CO;CCCCCCCC;-3.33
NITROMETHANE;DECANE;C[N+](=O)[O-];CCCCCCCCCC;-2.62
1,4-DIOXANE;DIETHYLENE GLYCOL DIBUTYL ETHER;C1COCCO1;CCCCOCCOCCOCCCC;-4.54
PROPENE;DIMETHYLFORMAMIDE;CC=C;CN(C)C=O;-1.3
CARBON MONOXIDE;CHLOROBENZENE;[C-]#[O+];C1=CC=C(C=C1)Cl;1.06
PROPYLAMINE;HEXANE;CCCN;CCCCCC;-3.08
3-AMINOPHENOL;CARBON TETRACHLORIDE;C1=CC(=CC(=C1)O)N;C(Cl)(Cl)(Cl)Cl;-8.55
MOLECULAR NITROGEN;TERT-BUTANOL;N#N;CC(C)(C)O;1.12
BUTANONE;N,N-DIBUTYLFORMAMIDE;CCC(=O)C;CCCCN(CCCC)C=O;-4.2
1-BUTENE;DIMETHYLFORMAMIDE;CCC=C;CN(C)C=O;-1.77
DECANOIC ACID;1,2-Dichlorethane;CCCCCCCCCC(=O)O;C(CCl)Cl;-9.32
VALERIC ACID;HEXADECANE;CCCCC(=O)O;CCCCCCCCCCCCCCCC;-4.61
2-HEPTANONE;HEXANE;CCCCCC(=O)C;CCCCCC;-5.36
OCTANE;BROMOETHANE;CCCCCCCC;CCBr;-5.32
N-BUTANOL;1-HEXADECENE;CCCCO;CCCCCCCCCCCCCCC=C;-3.66
DIHYDROGEN;METHOXYETHANOL;[HH];COCCO;1.84
CYCLOHEPTANE;ISOPROPANOL;C1CCCCCC1;CC(C)O;-4.24
ETHYL ACETATE;N-METHYLACETAMIDE;CCOC(=O)C;C/C(=N/C)/O;-4.04
N-BUTANOL;DECAN-1-OL;CCCCO;CCCCCCCCCCO;-5.72
CYCLOHEXENE;BUTANONE;C1CCC=CC1;CCC(=O)C;-4.0
TOLUENE;FORMAMIDE;Cc1ccccc1;C(=O)N;-3.0
ETHANOL;N,N-DIETHYLACETAMIDE;CCO;CCN(CC)C(=O)C;-5.06
(2R)-2-methylbutan-1-ol;water;CC[C@@H](C)CO;O;-0.1604739404417058
N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine;water;CN(C)CCC=C1c2ccccc2CCc3c1cccc3;O;-0.9433449913830159
ISOBUTENE;SULFOLANE;CC(=C)C;C1CCS(=O)(=O)C1;-1.27
1-PROPANOL;METHYLCYCLOHEXANE;CCCO;CC1CCCCC1;-3.42
ISOBUTANE;2-ETHOXYETHANOL;CC(C)C;CCOCCO;-1.45
CARBON DIOXIDE;BUTYROLACTONE;C(=O)=O;C1CC(=O)OC1;-0.6
ETHYLBENZENE;1,2-PROPANEDIOL;CCc1ccccc1;CC(CO)O;-4.02
BUTANONE;NITROETHANE;CCC(=O)C;CC[N+](=O)[O-];-4.79
N-methylaniline;water;CNc1ccccc1;O;-0.23069825398129187
9H-fluorene;water;c1ccc-2c(c1)Cc3c2cccc3;O;0.11782241321517188
prop-1-ene;water;CC=C;O;1.3324429473998625
2-CHLOROBUTANE;DIISOPROPYL ETHER;CCC(C)Cl;CC(C)OC(C)C;-3.95
2-CHLOROPHENOL;CARBON TETRACHLORIDE;C1=CC=C(C(=C1)O)Cl;C(Cl)(Cl)(Cl)Cl;-6.18
OCTANE;DIIODOMETHANE;CCCCCCCC;C(I)I;-3.37
1-METHYLPIPERIDINE;METHYL TERT-BUTYL ETHER;CN1CCCCC1;CC(C)(C)OC;-4.8
P-TOLUIDINE;HEPTANE;CC1=CC=C(C=C1)N;CCCCCCC;-6.14
2-chloro-4-hydroxy-3,5-dimethoxybenzaldehyde;water;COc1cc(c(c(c1O)OC)Cl)C=O;O;-1.034376508934331
OCTANE;4-FORMYLMORPHOLINE;CCCCCCCC;C1COCCN1C=O;-3.1
1-CHLOROPENTANE;1-HEXADECENE;CCCCCCl;CCCCCCCCCCCCCCC=C;-4.33
METHANOL;DIETHYLENE GLYCOL DIBUTYL ETHER;CO;CCCCOCCOCCOCCCC;-3.44
ISOBUTYRALDEHYDE;N,N-DIMETHYLACETAMIDE;CC(C)C=O;CC(=O)N(C)C;-4.04
BUT-1-YNE;ACETONE;CCC#C;CC(=O)C;-2.99
PERFLUOROMETHANE;BROMOBENZENE;C(F)(F)(F)F;C1=CC=C(C=C1)Br;1.57
PYRIDINE;HEXADECANE;c1ccncc1;CCCCCCCCCCCCCCCC;-4.1
BROMOETHANE;2,2,4-TRIMETHYLPENTANE;CCBr;CC(C)CC(C)(C)C;-2.95
MOLECULAR OXYGEN;DIETHYL ETHER;O=O;CCOCC;0.48
ETHYL BUTANOATE;OCTANE;CCCC(=O)OCC;CCCCCCCC;-4.69
ETHYL ACETATE;ETHYL ACETATE;CCOC(=O)C;CCOC(=O)C;-4.5
ETHANAL;DIETHYLENE GLYCOL DIBUTYL ETHER;CC=O;CCCCOCCOCCOCCCC;-2.53
DICHLOROETHANE;BUTANONE;C(CCl)Cl;CCC(=O)C;-4.79
ETHYL ACETATE;P-XYLENE;CCOC(=O)C;Cc1ccc(cc1)C;-4.21
