Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
DICHLOROMETHANE;PHENYLAMINE;C(Cl)Cl;c1ccc(cc1)N;-3.44
2-HEPTANONE;CARBON TETRACHLORIDE;CCCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-6.15
BENZYL ALCOHOL;CARBON TETRACHLORIDE;c1ccc(cc1)CO;C(Cl)(Cl)(Cl)Cl;-6.59
2-methoxy-2-methylpropane;water;CC(C)(C)OC;O;0.41432507038231264
ISOPENTANE;DIMETHYLFORMAMIDE;CCC(C)C;CN(C)C=O;-1.9
3-HEXANONE;3-HEXANONE;CCCC(=O)CC;CCCC(=O)CC;-5.5
MOLECULAR OXYGEN;1-OCTANOL;O=O;CCCCCCCCO;1.04
BUTANONE;ETHYLENE GLYCOL;CCC(=O)C;C(CO)O;-3.6
ISOHEXANE;ETHYL ACETATE;CCCC(C)C;CCOC(=O)C;-3.29
ETHYL IODIDE;IODOBENZENE;CCI;C1=CC=C(C=C1)I;-4.28
TERT-BUTYL BROMIDE;ACETONE;CC(C)(C)Br;CC(=O)C;-3.86
ETHANE;ISOBUTANOL;CC;CC(C)CO;-0.64
ACETONITRILE;HEXADECANE;CC#N;CCCCCCCCCCCCCCCC;-2.13
DICHLOROMETHANE;1-PROPANOL;C(Cl)Cl;CCCO;-3.34
N,N,4-trimethylbenzamide;water;Cc1ccc(cc1)C(=O)N(C)C;O;-1.5493548082246282
DIETHYL ETHER;DIMETHYLFORMAMIDE;CCOCC;CN(C)C=O;-2.81
M-CRESOL;IODOBENZENE;Cc1cccc(c1)O;c1ccc(cc1)I;-6.82
4-PICOLINE;CARBON TETRACHLORIDE;CC1=CC=NC=C1;C(Cl)(Cl)(Cl)Cl;-6.08
METHYLAMINE;HEXANE;CN;CCCCCC;-1.64
4-propylphenol;water;CCCc1ccc(cc1)O;O;-0.3659450800575314
ISOPROPANOL;DIIODOMETHANE;CC(C)O;C(I)I;-2.96
METHANOL;PHENYLAMINE;CO;c1ccc(cc1)N;-3.86
ETHANOL;N,N-DIBUTYLFORMAMIDE;CCO;CCCCN(CCCC)C=O;-4.53
FLUOROBENZENE;FLUOROBENZENE;c1ccc(cc1)F;c1ccc(cc1)F;-4.64
TRANS-PIPERYLENE;N,N-DIMETHYLACETAMIDE;C/C=C/C=C;CC(=O)N(C)C;-3.07
2-FLUOROPHENOL;CHLOROFORM;C1=CC=C(C(=C1)O)F;C(Cl)(Cl)Cl;-6.07
HEXANOL;HEXADECANE;CCCCCCO;CCCCCCCCCCCCCCCC;-4.92
CYCLOHEXANOL;CHLOROFORM;C1CCC(CC1)O;C(Cl)(Cl)Cl;-7.0
1-PROPANOL;M-XYLENE;CCCO;Cc1cccc(c1)C;-3.72
CARBON DISULFIDE;DIMETHYLFORMAMIDE;C(=S)=S;CN(C)C=O;-3.0
NITROMETHANE;ETHANOL;C[N+](=O)[O-];CCO;-4.23
1,3-DICHLOROBENZENE;1-OCTANOL;C1=CC(=CC(=C1)Cl)Cl;CCCCCCCCO;-5.63
1,1,2,2-tetrachloroethene;water;C(=C(Cl)Cl)(Cl)Cl;O;1.0151330862209926
OCTANE;TRIBUTYL PHOSPHATE;CCCCCCCC;CCCCOP(=O)(OCCCC)OCCCC;-4.49
CYCLOHEXANE;PENTANE;C1CCCCC1;CCCCC;-4.23
PERFLUOROMETHANE;TETRAETHYLENE GLYCOL DIMETHYL ETHER;C(F)(F)(F)F;COCCOCCOCCOCCOC;1.77
CHLOROBENZENE;HEPTANE;c1ccc(cc1)Cl;CCCCCCC;-5.17
5-NONANONE;HEXADECANE;CCCCC(=O)CCCC;CCCCCCCCCCCCCCCC;-6.33
SULFUR DIOXIDE;2,2,4-TRIMETHYLPENTANE;O=S=O;CC(C)CC(C)(C)C;-1.17
ACETONITRILE;DIETHYL ETHER;CC#N;CCOCC;-3.63
SULFUR HEXAFLUORIDE;TETRAHYDROPYRAN;FS(F)(F)(F)(F)F;C1CCOCC1;0.05
CARBON MONOXIDE;2-BUTANOL;[C-]#[O+];CCC(C)O;1.05
tetrafluoromethane;water;C(F)(F)(F)F;O;1.800605037663769
PROPENE;PENTANOL;CC=C;CCCCCO;-1.32
pentylcyclopentane;water;CCCCCC1CCCC1;O;1.6523537090801985
TERT-BUTYL BROMIDE;ACETIC ACID;CC(C)(C)Br;CC(=O)O;-3.43
MOLECULAR NITROGEN;BUTANONE;N#N;CCC(=O)C;1.08
3,5,5-trimethylcyclohex-2-en-1-one;water;CC1=CC(=O)CC(C1)(C)C;O;-0.35814237855313286
hept-1-ene;water;CCCCCC=C;O;1.4208735644497115
oxane;water;C1CCOCC1;O;0.17764312474889327
PROPIONITRILE;TRIBUTYL PHOSPHATE;CCC#N;CCCCOP(=O)(OCCCC)OCCCC;-4.39
O-XYLENE;PYRIDINE;Cc1ccccc1C;c1ccncc1;-5.99
ETBE;EPSILON-CAPROLACTONE;CCOC(C)(C)C;C1CCC(=O)OCC1;-3.32
ETHANE;DODECANE;CC;CCCCCCCCCCCC;-0.79
