Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
2-[(2R)-butan-2-yl]-4,6-dinitrophenol;water;CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-];O;-0.6312369312070785
butane-1-thiol;water;CCCCS;O;0.7316349315611826
pentanenitrile;water;CCCCC#N;O;0.07360710469024741
2-methylpropyl acetate;water;CC(C)COC(=O)C;O;0.37531156286032047
benzenethiol;water;c1ccc(cc1)S;O;0.3258944533324637
2,4-dimethylpentane;water;CC(C)CC(C)C;O;1.7251789231212507
4-N-ethyl-6-methylsulfanyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine;water;CCNc1nc(nc(n1)SC)NC(C)C;O;-1.0005648024152713
diethoxyphosphinothioylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane;water;CCOP(=S)(OCC)SCSP(=S)(OCC)OCC;O;-0.5974252246880184
methanesulfonyl chloride;water;CS(=O)(=O)Cl;O;-0.27751446300768245
1-bromooctane;water;CCCCCCCCBr;O;1.1243709072825707
decan-2-one;water;CCCCCCCCC(=O)C;O;0.3805133638632528
1-methyl-2-nitrobenzene;water;Cc1ccccc1[N+](=O)[O-];O;0.05800170168145052
N,N-dimethylformamide;water;CN(C)C=O;O;-1.0421792104387293
N-methylacetamide;water;CC(=O)NC;O;-1.611776420259816
pentan-1-ol;water;CCCCCO;O;-0.19948744796369808
cumene;water;CC(C)c1ccccc1;O;0.9110970661623468
1,2,3,4,7-pentachlorodibenzo-p-dioxin;water;c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2;O;-0.09024962690211993
methyl pentanoate;water;CCCCC(=O)OC;O;0.3232935528309975
1-(4-methoxyphenyl)ethanone;water;CC(=O)c1ccc(cc1)OC;O;-0.1552721394387736
1-bromo-2-chloroethane;water;C(CBr)Cl;O;0.48194848342043245
chloromethylbenzene;water;c1ccc(cc1)CCl;O;0.4871502844233648
1-ethylnaphthalene;water;CCc1cccc2c1cccc2;O;0.36490796085445587
2,6-dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;water;CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];O;0.1438314182298334
propan-2-one;water;CC(=O)C;O;0.0007818906491953492
1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene;water;c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl;O;0.19845032876062246
pentan-2-one;water;CCCC(=O)C;O;0.07360710469024741
cyclohexa-2,5-diene-1,4-dione;water;C1=CC(=O)C=CC1=O;O;-0.7014612447466644
1-butoxybutane;water;CCCCOCCCC;O;0.7732493395846409
