Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
cyclohexane;water;C1CCCCC1;O;1.3090348428866672
cyclopentanone;water;C1CCC(=O)C1;O;-0.23329915448275795
2-chloro-1,1,1-trifluoroethane;water;C(C(F)(F)F)Cl;O;1.004729484215128
(2R)-2-bromo-1,1,1,2-tetrafluoroethane;water;[C@@H](C(F)(F)F)(F)Br;O;1.1191691062796383
2-chloro-2-methylpropane;water;CC(C)(C)Cl;O;1.2726222358661412
2-methylbuta-1,3-diene;water;CC(=C)C=C;O;1.1659853153060291
(ethyldisulfanyl)ethane;water;CCSSCC;O;0.562576398965883
octan-2-one;water;CCCCCCC(=O)C;O;0.24006473678408083
2-methylpentane;water;CCCC(C)C;O;1.6419501070743339
2-butoxyethanol;water;CCCCOCCO;O;-0.6364387322100107
cyclohexanamine;water;C1CCC(CC1)N;O;-0.20468924896663027
(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol;water;C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C;O;0.15683592073716407
(2R)-4-methylpentan-2-ol;water;C[C@H](CC(C)C)O;O;0.018988194159458335
1-bromobutane;water;CCCCBr;O;0.8850880611476852
propan-2-yl acetate;water;CC(C)OC(=O)C;O;0.3024863488192683
1-chlorobutane;water;CCCCCl;O;0.9475096731828727
(1R,2S,3R,6S,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene;water;C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl;O;-0.26450996050035175
(2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-one;water;C[C@@H]1CC[C@H](C(=O)C1)C(C)C;O;0.331096254335396
2,3,7,8-tetrachlorodibenzo-p-dioxin;water;c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl;O;0.11262061221223958
4-methoxyaniline;water;COc1ccc(cc1)N;O;-0.9563494938903468
prop-2-en-1-ol;water;C=CCO;O;-0.3191288710311408
1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin;water;c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2;O;-0.18908384595783348
(1S,2R,8S,9R)-1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide;water;C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl;O;-0.11105683091384912
1-phenylethanone;water;CC(=O)c1ccccc1;O;-0.20208834846516416
(3aR,7aR)-2-(trichloromethylsulfanyl)-3a,4,7,7a-tetrahydroisoindole-1,3-dione;water;C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl;O;-1.3542872706146671
4-bromophenol;water;c1cc(ccc1O)Br;O;-0.5324027121513647
pent-1-ene;water;CCCC=C;O;1.426075365452644
octanal;water;CCCCCCCC=O;O;0.39351786637058345
ethane;water;CC;O;1.4650888729746359
1,2,4,5-tetrachlorobenzene;water;c1c(c(cc(c1Cl)Cl)Cl)Cl;O;0.6406034140098673
1,1-dichloroethene;water;C=C(Cl)Cl;O;1.0541465937429846
2-methylpropan-2-ol;water;CC(C)(C)O;O;-0.17347844294903647
1-methylpyrrole;water;Cn1cccc1;O;0.23746383628261464
2-phenylethanol;water;c1ccc(cc1)CCO;O;-0.7768873592891826
1,2,3,4,7,8-hexachlorodibenzo-p-dioxin;water;c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2;O;0.024189995162390635
(Z)-1,2-dichloroethene;water;C(=C\Cl)\Cl;O;0.6848187225347919
1,4-dimethylpiperazine;water;CN1CCN(CC1)C;O;-0.9823584989050083
4-methylaniline;water;Cc1ccc(cc1)N;O;-0.45957749811031273
1,2,3,7-tetrachlorodibenzo-p-dioxin;water;c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl;O;-0.009621711356669248
1-iodoheptane;water;CCCCCCCI;O;1.059348394745917
S-propyl N-butyl-N-ethylcarbamothioate;water;CCCCN(CC)C(=O)SCCC;O;0.04239629867265362
N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline;water;CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];O;0.07620800519171361
