Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
trimethylphosphate;hexane;COP(=O)(OC)OC;CCCCCC;-5.82
N,N,4-trimethylbenzamide;water;CC1=CC=C(C=C1)C(=O)N(C)C;O;-9.76
benzene;heptane;C1=CC=CC=C1;CCCCCCC;-4
a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine(trifluralin);water;CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];O;-3.3
1,1-dimethylhydrazine;water;CN(C)N;O;-4.48
3-bromopropene;octanol;C=CCBr;CCCCCCCCO;-3.3
1,4-dioxane;carbontet;C1COCCO1;C(Cl)(Cl)(Cl)Cl;-4.97
nitrobenzene;heptane;C1=CC=C(C=C1)[N+](=O)[O-];CCCCCCC;-6.14
butylacetate;butylbenzene;CCCCCC(=O)[O-];CCCCC1=CC=CC=C1;-5.28
pentylacetate;decalin;CCCCCOC(=O)C;C1CCC2CCCCC2C1;-5.44
ethanol;nitromethane;CCO;C[N+](=O)[O-];-4.16
1-hexanol;chlorobenzene;CCCCCCO;C1=CC=C(C=C1)Cl;-5.98
1-butanol;bromobenzene;CCCCO;C1=CC=C(C=C1)Br;-4.08
trimethylamine;carbontet;CN(C)C;C(Cl)(Cl)(Cl)Cl;-3.09
chlorobenzene;decanol;C1=CC=C(C=C1)Cl;CCCCCCCCCCO;-4.83
pyridine;cyclohexane;C1=CC=NC=C1;C1CCCCC1;-4.3
2-nitropropane;hexadecane;CC(C)[N+](=O)[O-];CCCCCCCCCCCCCCCC;-3.47
n-octane;2methylpyridine;CCCCCCCC;CC1=CC=CC=N1;-4.73
toluene;nitroethane;CC1=CC=CC=C1;CC[N+](=O)[O-];-4.88
o-xylene;hexadecane;CC1=CC=CC=C1C;CCCCCCCCCCCCCCCC;-5.37
methylhexanoate;pentane;CCCCCC(=O)OC;CCCCC;-5.67
dipropylamine;water;CCCNCCC;O;-3.66
morpholine;chloroform;C1COCCN1;C(Cl)(Cl)Cl;-6.72
triethylphosphate;carbontet;CCOP(=O)(OCC)OCC;C(Cl)(Cl)(Cl)Cl;-7.51
acetone;carbontet;CC(=O)C;C(Cl)(Cl)(Cl)Cl;-3.35
methanol;iodobenzene;CO;C1=CC=C(C=C1)I;-2.18
phenol;chlorobenzene;C1=CC=C(C=C1)O;C1=CC=C(C=C1)Cl;-6.96
acetone;tetralin;CC(=O)C;C1CCC2=CC=CC=C2C1;-2.54
2-hexanone;cyclohexane;CCCCC(=O)C;C1CCCCC1;-4.77
1-nitropropane;toluene;CCC[N+](=O)[O-];CC1=CC=CC=C1;-5.25
E-N-methylacetamide;water;CC(=O)NC;O;-10
anisole;carbontet;COC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-5.49
cyclopentene;water;C1CC=CC1;O;0.56
ethanol;decane;CCO;CCCCCCCCCC;-2.44
toluene;methylenechloride;CC1=CC=CC=C1;C(Cl)Cl;-5.53
piperidine;diethylether;C1CCNCC1;CCOCC;-4.82
naproxen;octanol;C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O;CCCCCCCCO;-14.55
4-methylaniline;cyclohexane;CC1=CC=C(C=C1)N;C1CCCCC1;-6.3
ethylacetate;benzene;CCOC(=O)C;C1=CC=CC=C1;-4.53
1,1-difluoroethane;octanol;CC(F)F;CCCCCCCCO;-1.13
o-cresol;bromoform;CC1=CC=CC=C1O;C(Br)(Br)Br;-7.45
nitromethane;isooctane;C[N+](=O)[O-];CC(C)CC(C)(C)C;-2.82
2-butanone;fluorobenzene;CCC(=O)C;C1=CC=C(C=C1)F;-4.6
3-methylaniline;carbontet;CC1=CC(=CC=C1)N;C(Cl)(Cl)(Cl)Cl;-7.23
2-hexanone;tetralin;CCCCC(=O)C;C1CCC2=CC=CC=C2C1;-4.64
1,1-difluoroethane;water;CC(F)F;O;-0.11
propylamine;diethylether;CCCN;CCOCC;-3.65
benzene;carbontet;C1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-4.5
phenol;diisopropylether;C1=CC=C(C=C1)O;CC(C)OC(C)C;-8.35
5-trifluoromethyluracil;water;C1=C(C(=O)NC(=O)N1)C(F)(F)F;O;-15.46
m-cresol;benzene;CC1=CC(=CC=C1)O;C1=CC=CC=C1;-6.66
3-methylaniline;octanol;CC1=CC(=CC=C1)N;CCCCCCCCO;-7.57
2-butanone;aniline;CCC(=O)C;C1=CC=C(C=C1)N;-4.87
1,1,2-trichloroethane;hexadecane;C(C(Cl)Cl)Cl;CCCCCCCCCCCCCCCC;-4.49
2-methoxyethanol;tributylphosphate;COCCO;CCCCOP(=O)(OCCCC)OCCCC;-6.14
aniline;aniline;C1=CC=C(C=C1)N;C1=CC=C(C=C1)N;-7.61
butenyne;water;C=CC#C;O;0.04
morpholine;water;C1COCCN1;O;-7.17
nitromethane;propanol;C[N+](=O)[O-];CCCO;-4.04
methylpropanoate;trimethylbenzene;CCC(=O)OC;CC1=C(C(=CC=C1)C)C;-4.14
2-butanone;mcresol;CCC(=O)C;CC1=CC(=CC=C1)O;-5.98
1-propanol;diethylether;CCCO;CCOCC;-4.9
toluene;decane;CC1=CC=CC=C1;CCCCCCCCCC;-4.65
2-butanone;chlorohexane;CCC(=O)C;CCCCCCCl;-4.1
aceticacid;toluene;CC(=O)O;CC1=CC=CC=C1;-4
octachloro-4,7-methanohydroindane(chlordane);water;C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl;O;-3.4
1-hexanol;hexadecane;CCCCCCO;CCCCCCCCCCCCCCCC;-4.92
anisole;octanol;COC1=CC=CC=C1;CCCCCCCCO;-5.47
methylpropanoate;decalin;CCC(=O)OC;C1CCC2CCCCC2C1;-3.5
anisole;hexadecane;COC1=CC=CC=C1;CCCCCCCCCCCCCCCC;-5.35
2-methoxyethanamine;water;COCCN;O;-6.55
methanol;chlorobenzene;CO;C1=CC=C(C=C1)Cl;-2.44
tolfenamicacid;octanol;CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O;CCCCCCCCO;-13.76
aceticacid;octanol;CC(=O)O;CCCCCCCCO;-6.35
2-methyl-1-nitrobenzene;chloroform;CC1=CC=CC=C1[N+](=O)[O-];C(Cl)(Cl)Cl;-8.3
hexanoicacid;butanone;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;CCC(=O)C;-8.07
thiophene;octanol;C1=CSC=C1;CCCCCCCCO;-3.89
o-cresol;nitrobenzene;CC1=CC=CC=C1O;C1=CC=C(C=C1)[N+](=O)[O-];-8.16
propylamine;hexanol;CCCN;CCCCCCO;-4.83
2-butanone;toluene;CCC(=O)C;CC1=CC=CC=C1;-4.27
Z-1,2-dichloroethene;octanol;C(=C\Cl)\Cl;CCCCCCCCO;-3.71
2-heptanone;xylene;CCCCCC(=O)C;CC1=CC(=CC=C1)C;-6.15
