Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
n-hexane;benzene;CCCCCC;C1=CC=CC=C1;-3.62
butylamine;tetrachloroethene;CCCCN;C(=C(Cl)Cl)(Cl)Cl;-4.49
1-bromopropane;hexadecane;CCCBr;CCCCCCCCCCCCCCCC;-3.57
aniline;nitrobenzene;C1=CC=C(C=C1)N;C1=CC=C(C=C1)[N+](=O)[O-];-7.15
ethanol;octanol;CCO;CCCCCCCCO;-4.36
1-nitrobutane;hexane;CCCC[N+](=O)[O-];CCCCCC;-4.64
acetamide;water;CC(=O)N;O;-9.71
1,1,2-trichloro-1,2,2-trifluoroethane;octanol;C(C(F)(Cl)Cl)(F)(F)Cl;CCCCCCCCO;-2.54
phenol;dibromoethane;C1=CC=C(C=C1)O;CC(Br)Br;-7.22
ethylphenylether;octanol;CCOC1=CC=CC=C1;CCCCCCCCO;-5.65
1-chloropropane;octanol;CCCCl;CCCCCCCCO;-3.06
butylacetate;tetrachloroethene;CCCCCC(=O)[O-];C(=C(Cl)Cl)(Cl)Cl;-5.35
2,6-dichlorothiobenzamide;water;C1=CC(=C(C(=C1)Cl)C(=S)N)Cl;O;-10.81
chloroform;octanol;C(Cl)(Cl)Cl;CCCCCCCCO;-3.81
n-pentane;octanol;CCCCC;CCCCCCCCO;-2.45
nitromethane;tetrahydrothiophenedioxide;C[N+](=O)[O-];C1CCS(=O)(=O)C1;-5.28
3-methylpyridine;water;CC1=CN=CC=C1;O;-4.77
trimethylamine;chloroform;CN(C)C;C(Cl)(Cl)Cl;-3.9
1,1,2-trichloro-1,2,2-trifluoroethane;hexadecane;C(C(F)(Cl)Cl)(F)(F)Cl;CCCCCCCCCCCCCCCC;-2.89
ammonia;toluene;N;CC1=CC=CC=C1;-2.38
3,aminoaniline;water;C1=CC(=CC(=C1)N)N;O;-9.92
1-pentyne;hexadecane;CCCC#C;CCCCCCCCCCCCCCCC;-2.74
hydrogenperoxide;butylacetate;OO;CCCCCC(=O)[O-];-6.76
toluene;fluorobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)F;-5.27
2-ethylpyrazine;water;CCC1=NC=CN=C1;O;-5.51
methylacetate;bromobenzene;CC(=O)OC;C1=CC=C(C=C1)Br;-3.87
2-butanone;toluene;CCC(=O)C;CC1=CC=CC=C1;-4.27
2-butanone;dimethylsulfoxide;CCC(=O)C;CS(=O)C;-4.23
bromomethane;water;CBr;O;-0.82
g-butyrolactone;octanol;C1CC(=O)OC1;CCCCCCCCO;-6.83
dipropylamine;isobutanol;CCCNCCC;CC(C)CO;-5.87
pyrrolidine;water;C1CCNC1;O;-5.48
diethylsulfide;octanol;CCSCC;CCCCCCCCO;-4.09
uracil;chloroform;C1=CNC(=O)NC1=O;C(Cl)(Cl)Cl;-14.28
methylamine;chloroform;CN;C(Cl)(Cl)Cl;-3.17
methanol;odichlorobenzene;CO;C1=CC=C(C(=C1)Cl)Cl;-1.73
N-(2-hydroxyphenyl)acetamide;octanol;CC(=O)NC1=CC=CC=C1O;CCCCCCCCO;-12.59
1-hexanol;decane;CCCCCCO;CCCCCCCCCC;-4.97
2,2'-dichlorobiphenyl;water;C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl;O;-2.73
p-bromophenol;octanol;C1=CC(=CC=C1O)Br;CCCCCCCCO;-10.59
t-butanol;benzene;CC(C)(C)O;C1=CC=CC=C1;-3.7
1-butanol;carbontet;CCCCO;C(Cl)(Cl)(Cl)Cl;-4.2
nitroethane;octanol;CC[N+](=O)[O-];CCCCCCCCO;-3.93
butylamine;water;CCCCN;O;-4.29
morpholine;octanol;C1COCCN1;CCCCCCCCO;-5.99
toluene;octanol;CC1=CC=CC=C1;CCCCCCCCO;-4.55
2-methyl-1-nitrobenzene;hexadecane;CC1=CC=CC=C1[N+](=O)[O-];CCCCCCCCCCCCCCCC;-6.52
flufenamicacid;water;C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F;O;-5.68
2-methylaniline;benzene;CC1=CC=CC=C1N;C1=CC=CC=C1;-7.37
acetone;heptane;CC(=O)C;CCCCCCC;-2.61
aceticacid;carbontet;CC(=O)O;C(Cl)(Cl)(Cl)Cl;-3.64
1,4-dioxane;triethylamine;C1COCCO1;CCN(CC)CC;-4.41
p-cresol;heptanol;CC1=CC=C(C=C1)O;CCCCCCCO;-9.16
aceticacid;decalin;CC(=O)O;C1CCC2CCCCC2C1;-4.49
nitrobenzene;cyclohexane;C1=CC=C(C=C1)[N+](=O)[O-];C1CCCCC1;-6.62
butylamine;iodobenzene;CCCCN;C1=CC=C(C=C1)I;-4.19
2,4-dimethylpentane;hexadecane;CC(C)CC(C)C;CCCCCCCCCCCCCCCC;-3.87
trimethylphosphate;dichloroethane;COP(=O)(OC)OC;CC(Cl)Cl;-8.55
1,1,1-trichloroethane;octanol;CC(Cl)(Cl)Cl;CCCCCCCCO;-3.69
1,4-dioxane;iodobenzene;C1COCCO1;C1=CC=C(C=C1)I;-4.94
4-methylaniline;carbontet;CC1=CC=C(C=C1)N;C(Cl)(Cl)(Cl)Cl;-7.24
2-butanone;acetonitrile;CCC(=O)C;CC#N;-4.73
ethanol;decane;CCO;CCCCCCCCCC;-2.44
toluene;heptanol;CC1=CC=CC=C1;CCCCCCCO;-4.33
n-pentadecane;pentadecane;CCCCCCCCCCCCCCC;CCCCCCCCCCCCCCC;-9.91
1-butene;water;CCC=C;O;1.38
ethylacetate;hexadecane;CCOC(=O)C;CCCCCCCCCCCCCCCC;-3.25
tetramethylsilane;hexadecane;C[Si](C)(C)C;CCCCCCCCCCCCCCCC;-2.92
1-decanol;decanol;CCCCCCCCCCO;CCCCCCCCCCO;-9.58
n-octane;water;CCCCCCCC;O;2.89
2-heptanone;water;CCCCCC(=O)C;O;-3.04
2-methoxyethanamine;water;COCCN;O;-6.55
m-xylene;heptane;CC1=CC(=CC=C1)C;CCCCCCC;-5.67
m-cresol;cyclohexane;CC1=CC(=CC=C1)O;C1CCCCC1;-5.2
aniline;aniline;C1=CC=C(C=C1)N;C1=CC=C(C=C1)N;-7.61
benzaldehyde;cyclohexane;C1=CC=C(C=C1)C=O;C1CCCCC1;-5.71
1-bromobutane;hexadecane;CCCCBr;CCCCCCCCCCCCCCCC;-4.24
thiophenol;hexadecane;C1=CC=C(C=C1)S;CCCCCCCCCCCCCCCC;-5.61
dichloromethane;octanol;C(Cl)Cl;CCCCCCCCO;-3.07
trimethylamine;toluene;CN(C)C;CC1=CC=CC=C1;-2.71
p-hydroxybenzaldehyde;dichloroethane;C1=CC(=CC=C1C=O)O;CC(Cl)Cl;-10.7
methylparaben;octanol;COC(=O)C1=CC=C(C=C1)O;CCCCCCCCO;-12.18
2-pentanone;isooctane;CCCC(=O)C;CC(C)CC(C)(C)C;-4.14
m-cresol;hexadecane;CC1=CC(=CC=C1)O;CCCCCCCCCCCCCCCC;-5.91
methylamine;diethylether;CN;CCOCC;-2.32
methylpentanoate;perfluorobenzene;CCCCC(=O)OC;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.59
trimethylamine;isobutanol;CN(C)C;CC(C)CO;-3.9
diethylamine;toluene;CCNCC;CC1=CC=CC=C1;-3.75
butylamine;bromobenzene;CCCCN;C1=CC=C(C=C1)Br;-4.22
2-butanone;dimethylacetamide;CCC(=O)C;CC(=O)N(C)C;-4.52
n-hexane;water;CCCCCC;O;2.49
1-heptanol;chlorobenzene;CCCCCCCO;C1=CC=C(C=C1)Cl;-6.78
ethylacetate;tetrachloroethene;CCOC(=O)C;C(=C(Cl)Cl)(Cl)Cl;-4.22
1-octanol;diethylether;CCCCCCCCO;CCOCC;-7.25
n-octane;aceticacid;CCCCCCCC;CC(=O)O;-3.93
ethanethiol;hexadecane;CCS;CCCCCCCCCCCCCCCC;-2.96
1-pentanol;diethylether;CCCCCO;CCOCC;-6.11
hydrogensulfide;diethylether;S;CCOCC;-0.6
